marca,modelo,precio,anno,kilometros,combustible,transmision,potencia,fuente,carroceria
MERCEDES-BENZ,CLASE C,23990.0,2019.0,184000.0,Gasolina,Automatico,25812.0,coches.net,berlina
MERCEDES-BENZ,CLASE C,40990.0,2021.0,32000.0,Diésel,Automatico,24512.0,coches.net,berlina
VOLKSWAGEN,ARTEON,21990.0,2021.0,135982.0,Diésel,Automatico,15012.0,coches.net,berlina
AUDI,Q2,19990.0,2020.0,65216.0,Diésel,Automatico,11612.0,coches.net,utilitario
SKODA,KAROQ,34490.0,2025.0,136.0,Gasolina,Automatico,15012.0,coches.net,utilitario
PEUGEOT,3008,16950.0,2022.0,98000.0,Diésel,Manual,13012.0,coches.net,utilitario
JEEP,WRANGLER,59800.0,2023.0,51045.0,Híbrido enchufable,Automatico,38112.0,coches.net,utilitario
NISSAN,QASHQAI,22490.0,2024.0,73100.0,Híbrido,Automatico,15812.0,coches.net,utilitario
BMW,X5,19999.0,2015.0,250000.0,Diésel,Automatico,25812.0,coches.net,utilitario
MERCEDES-BENZ,CLASE CLA,18999.0,2017.0,140000.0,Diésel,Automatico,13612.0,coches.net,berlina
SEAT,IBIZA,12499.0,2022.0,63000.0,Gasolina,Manual,8012.0,coches.net,berlina
OPEL,INSIGNIA,11499.0,2020.0,238000.0,Gasolina,Automatico,16512.0,coches.net,berlina
KIA,SORENTO,34990.0,2021.0,81990.0,Híbrido enchufable,Automatico,26512.0,coches.net,utilitario
JEEP,COMPASS,20990.0,2023.0,40127.0,Diésel,Manual,13012.0,coches.net,utilitario
OPEL,CROSSLAND,14490.0,2024.0,20593.0,Gasolina,Manual,11012.0,coches.net,utilitario
FORD,FIESTA,16490.0,2023.0,48281.0,Híbrido,Manual,12512.0,coches.net,berlina
CITROEN,GRAND C4 PICASSO,6990.0,2014.0,230000.0,Diésel,Automatico,11512.0,coches.net,utilitario
SEAT,ARONA,15600.0,2022.0,90493.0,Gasolina,Manual,11012.0,coches.net,utilitario
PEUGEOT,RIFTER,13990.0,2022.0,110000.0,Diésel,Manual,10012.0,coches.net,utilitario
FORD,S-MAX,7999.0,2012.0,160000.0,Diésel,Automatico,14012.0,coches.net,utilitario
SEAT,LEÓN,21990.0,2020.0,68306.0,Híbrido,Automatico,15012.0,coches.net,berlina
RENAULT,MÉGANE,17490.0,2019.0,62151.0,Gasolina,Manual,14012.0,coches.net,berlina
BMW,SERIE 2 ACTIVE TOURER,16990.0,2018.0,109000.0,Gasolina,Automatico,14012.0,coches.net,utilitario
MAZDA,CX-30,24990.0,2024.0,19383.0,Híbrido,Automatico,14012.0,coches.net,utilitario
HYUNDAI,I10,10490.0,2022.0,84000.0,Gasolina,Manual,6712.0,coches.net,berlina
MINI,COUNTRYMAN,22390.0,2021.0,115000.0,Híbrido enchufable,Automatico,22012.0,coches.net,berlina
HYUNDAI,TUCSON,21250.0,2021.0,99900.0,Híbrido,Automatico,13612.0,coches.net,utilitario
BMW,X1,23500.0,2020.0,68806.0,Híbrido enchufable,Automatico,22012.0,coches.net,utilitario
MERCEDES-BENZ,GLA,39990.0,2024.0,49456.0,Híbrido,Automatico,16312.0,coches.net,utilitario
BMW,X2,29900.0,2022.0,45881.0,Híbrido enchufable,Automatico,22012.0,coches.net,utilitario
TOYOTA,YARIS CROSS,21985.0,2025.0,44306.0,Híbrido,Automatico,11612.0,coches.net,utilitario
FIAT,PANDA,10985.0,2023.0,57510.0,Híbrido,Manual,7012.0,coches.net,berlina
TOYOTA,YARIS,15985.0,2022.0,74107.0,Híbrido,Automatico,11612.0,coches.net,berlina
AUDI,Q3,27990.0,2022.0,119990.0,Híbrido enchufable,Automatico,24512.0,coches.net,utilitario
MAZDA,CX-30,23290.0,2025.0,37301.0,Híbrido,Manual,14012.0,coches.net,utilitario
OPEL,INSIGNIA,13990.0,2020.0,97000.0,Diésel,Manual,13612.0,coches.net,berlina
KIA,STONIC,11990.0,2019.0,86088.0,Gasolina,Manual,10012.0,coches.net,utilitario
CITROEN,BERLINGO,13990.0,2020.0,96245.0,Diésel,Manual,10212.0,coches.net,utilitario
FIAT,500,18990.0,2026.0,2000.0,Híbrido,Manual,6512.0,coches.net,berlina
CUPRA,FORMENTOR,27900.0,2021.0,72900.0,Gasolina,Automatico,19012.0,coches.net,utilitario
SEAT,ARONA,12900.0,2020.0,102000.0,Gasolina,Manual,9512.0,coches.net,utilitario
CITROEN,C4,21900.0,2025.0,14447.0,Híbrido,Automatico,13612.0,coches.net,berlina
CITROEN,C3 AIRCROSS,18500.0,2025.0,22281.0,Gasolina,Manual,10012.0,coches.net,utilitario
OPEL,CORSA,16900.0,2025.0,5219.0,Gasolina,Manual,10012.0,coches.net,berlina
FIAT,500C,10990.0,2021.0,94019.0,Híbrido,Manual,7012.0,coches.net,berlina
CITROEN,C3,11800.0,2023.0,56000.0,Diésel,Manual,10212.0,coches.net,berlina
HYUNDAI,STARIA,28900.0,2023.0,129000.0,Diésel,Automatico,17712.0,coches.net,utilitario
BMW,SERIE 5,54900.0,2025.0,19241.0,Híbrido,Automatico,19712.0,coches.net,berlina
SEAT,TARRACO,33850.0,2024.0,20645.0,Gasolina,Automatico,15012.0,coches.net,utilitario
AUDI,A5,24999.0,2015.0,144500.0,Gasolina,Automatico,27212.0,coches.net,berlina
MERCEDES-BENZ,GLC COUPÉ,74400.0,2026.0,7.0,Híbrido,Automatico,19712.0,coches.net,utilitario
RENAULT,CLIO,16990.0,2022.0,71000.0,Híbrido,Automatico,14012.0,coches.net,berlina
MERCEDES-BENZ,GLE COUPÉ,94400.0,2026.0,15.0,Híbrido,Automatico,26912.0,coches.net,utilitario
SEAT,ARONA,19900.0,2024.0,25619.0,Gasolina,Manual,11012.0,coches.net,utilitario
BMW,SERIE 2,26900.0,2022.0,63396.0,Gasolina,Automatico,13612.0,coches.net,berlina
BMW,IX1,32900.0,2023.0,79103.0,Eléctrico,Automatico,31312.0,coches.net,utilitario
VOLVO,V60,36900.0,2025.0,10900.0,Híbrido,Automatico,19712.0,coches.net,berlina
BMW,X4,58900.0,2025.0,30525.0,Híbrido,Automatico,19012.0,coches.net,utilitario
SKODA,OCTAVIA,14900.0,2021.0,160000.0,Diésel,Automatico,15012.0,coches.net,berlina
CITROEN,C4,15990.0,2022.0,47480.0,Gasolina,Manual,13012.0,coches.net,berlina
MG,MG3 HYBRID+,16890.0,2024.0,13565.0,Híbrido,Automatico,19512.0,coches.net,berlina
MERCEDES-BENZ,GLE,53990.0,2021.0,101000.0,Híbrido enchufable,Automatico,32012.0,coches.net,utilitario
CUPRA,LEÓN,27900.0,2024.0,28201.0,Híbrido,Automatico,15012.0,coches.net,berlina
MERCEDES-BENZ,CLASE A,16800.0,2014.0,113920.0,Diésel,Automatico,10912.0,coches.net,berlina
AUDI,Q2,20900.0,2019.0,60598.0,Gasolina,Manual,11612.0,coches.net,utilitario
FORD,MONDEO,11470.0,2015.0,159000.0,Diésel,Automatico,18012.0,coches.net,berlina
FORD,FIESTA,13900.0,2019.0,61402.0,Gasolina,Manual,10012.0,coches.net,berlina
FORD,FOCUS,22500.0,2025.0,4713.0,Híbrido,Manual,12512.0,coches.net,berlina
AUDI,A4,15990.0,2021.0,199903.0,Híbrido,Automatico,13612.0,coches.net,berlina
VOLKSWAGEN,T-CROSS,15490.0,2020.0,81973.0,Diésel,Manual,9512.0,coches.net,utilitario
VOLVO,XC60,37650.0,2021.0,82000.0,Híbrido,Automatico,19712.0,coches.net,utilitario
BMW,X3,36190.0,2022.0,88246.0,Híbrido enchufable,Automatico,29212.0,coches.net,utilitario
MG,MG3,18990.0,2025.0,13750.0,Híbrido,Automatico,19512.0,coches.net,berlina
VOLKSWAGEN,GOLF GTD  200 CV 2.0 TDI DSG,33900.0,2023.0,64900.0,Diésel,Automatico,200.0,coches.net,berlina
TOYOTA,YARIS,17599.0,2022.0,114990.0,Híbrido,Automatico,11612.0,coches.net,berlina
BMW,X5,50990.0,2021.0,66000.0,Híbrido enchufable,Automatico,39412.0,coches.net,utilitario
KIA,PRO_CEE'D,6990.0,2013.0,148299.0,Diésel,Manual,11012.0,coches.net,berlina
KIA,XCEED,17990.0,2024.0,38345.0,Gasolina,Manual,10012.0,coches.net,utilitario
TOYOTA,YARIS,5999.0,2012.0,200000.0,Diésel,Manual,9012.0,coches.net,berlina
MERCEDES-BENZ,CLASE C,18990.0,2016.0,158000.0,Diésel,Automatico,17012.0,coches.net,berlina
VOLVO,V60,10990.0,2015.0,174061.0,Gasolina,Automatico,19012.0,coches.net,berlina
TOYOTA,YARIS,17290.0,2021.0,43407.0,Híbrido,Automatico,11612.0,coches.net,berlina
DACIA,SANDERO,11400.0,2022.0,65225.0,Gas,Manual,10112.0,coches.net,berlina
HYUNDAI,TUCSON,34900.0,2025.0,8530.0,Híbrido,Automatico,21512.0,coches.net,utilitario
VOLVO,EX30,49900.0,2025.0,20.0,Eléctrico,Automatico,42812.0,coches.net,utilitario
CHEVROLET,CAPTIVA,7299.0,2011.0,188068.0,Diésel,Manual,12712.0,coches.net,utilitario
FORD,S-MAX,12490.0,2014.0,162000.0,Diésel,Automatico,14012.0,coches.net,utilitario
PEUGEOT,5008,17900.0,2018.0,104000.0,Diésel,Automatico,13012.0,coches.net,utilitario
SKODA,FABIA,15985.0,2024.0,15904.0,Gasolina,Manual,9512.0,coches.net,berlina
BMW,X3,28900.0,2020.0,204100.0,Gasolina,Automatico,25212.0,coches.net,utilitario
MERCEDES-BENZ,CLASE E,12800.0,2013.0,235500.0,Diésel,Automatico,20412.0,coches.net,berlina
VOLKSWAGEN,TIGUAN,39990.0,2025.0,14990.0,Diésel,Automatico,15012.0,coches.net,utilitario
MERCEDES-BENZ,CLASE C,32990.0,2022.0,149000.0,Híbrido,Automatico,20012.0,coches.net,berlina
MASERATI,LEVANTE,44900.0,2019.0,120000.0,Gasolina,Automatico,43012.0,coches.net,utilitario
DACIA,SANDERO,9990.0,2018.0,80000.0,Gasolina,Manual,9012.0,coches.net,berlina
VOLKSWAGEN,BEETLE,15995.0,2018.0,47000.0,Gasolina,Manual,10512.0,coches.net,berlina
TOYOTA,PROACE CITY VERSO,21995.0,2023.0,20000.0,Gasolina,Manual,11012.0,coches.net,utilitario
BMW,X3,38990.0,2022.0,79000.0,Híbrido enchufable,Automatico,29212.0,coches.net,utilitario
VOLKSWAGEN,T-ROC,22990.0,2021.0,55000.0,Gasolina,Automatico,15012.0,coches.net,utilitario
